date,country,region,lat,long,confirmed,deaths
1/22/20,Afghanistan,,33.0,65.0,0,0
1/23/20,Afghanistan,,33.0,65.0,0,0
1/24/20,Afghanistan,,33.0,65.0,0,0
1/25/20,Afghanistan,,33.0,65.0,0,0
1/26/20,Afghanistan,,33.0,65.0,0,0
1/27/20,Afghanistan,,33.0,65.0,0,0
1/28/20,Afghanistan,,33.0,65.0,0,0
1/29/20,Afghanistan,,33.0,65.0,0,0
1/30/20,Afghanistan,,33.0,65.0,0,0
1/31/20,Afghanistan,,33.0,65.0,0,0
2/1/20,Afghanistan,,33.0,65.0,0,0
2/2/20,Afghanistan,,33.0,65.0,0,0
2/3/20,Afghanistan,,33.0,65.0,0,0
2/4/20,Afghanistan,,33.0,65.0,0,0
2/5/20,Afghanistan,,33.0,65.0,0,0
2/6/20,Afghanistan,,33.0,65.0,0,0
2/7/20,Afghanistan,,33.0,65.0,0,0
2/8/20,Afghanistan,,33.0,65.0,0,0
2/9/20,Afghanistan,,33.0,65.0,0,0
2/10/20,Afghanistan,,33.0,65.0,0,0
2/11/20,Afghanistan,,33.0,65.0,0,0
2/12/20,Afghanistan,,33.0,65.0,0,0
2/13/20,Afghanistan,,33.0,65.0,0,0
2/14/20,Afghanistan,,33.0,65.0,0,0
2/15/20,Afghanistan,,33.0,65.0,0,0
2/16/20,Afghanistan,,33.0,65.0,0,0
2/17/20,Afghanistan,,33.0,65.0,0,0
2/18/20,Afghanistan,,33.0,65.0,0,0
2/19/20,Afghanistan,,33.0,65.0,0,0
2/20/20,Afghanistan,,33.0,65.0,0,0
2/21/20,Afghanistan,,33.0,65.0,0,0
2/22/20,Afghanistan,,33.0,65.0,0,0
2/23/20,Afghanistan,,33.0,65.0,0,0
2/24/20,Afghanistan,,33.0,65.0,1,0
2/25/20,Afghanistan,,33.0,65.0,1,0
2/26/20,Afghanistan,,33.0,65.0,1,0
2/27/20,Afghanistan,,33.0,65.0,1,0
2/28/20,Afghanistan,,33.0,65.0,1,0
2/29/20,Afghanistan,,33.0,65.0,1,0
3/1/20,Afghanistan,,33.0,65.0,1,0
3/2/20,Afghanistan,,33.0,65.0,1,0
3/3/20,Afghanistan,,33.0,65.0,1,0
3/4/20,Afghanistan,,33.0,65.0,1,0
3/5/20,Afghanistan,,33.0,65.0,1,0
3/6/20,Afghanistan,,33.0,65.0,1,0
3/7/20,Afghanistan,,33.0,65.0,1,0
3/8/20,Afghanistan,,33.0,65.0,4,0
3/9/20,Afghanistan,,33.0,65.0,4,0
3/10/20,Afghanistan,,33.0,65.0,5,0
3/11/20,Afghanistan,,33.0,65.0,7,0
3/12/20,Afghanistan,,33.0,65.0,7,0
3/13/20,Afghanistan,,33.0,65.0,7,0
3/14/20,Afghanistan,,33.0,65.0,11,0
3/15/20,Afghanistan,,33.0,65.0,16,0
3/16/20,Afghanistan,,33.0,65.0,21,0
3/17/20,Afghanistan,,33.0,65.0,22,0
3/18/20,Afghanistan,,33.0,65.0,22,0
3/19/20,Afghanistan,,33.0,65.0,22,0
3/20/20,Afghanistan,,33.0,65.0,24,0
3/21/20,Afghanistan,,33.0,65.0,24,0
3/22/20,Afghanistan,,33.0,65.0,40,0
1/22/20,Albania,,41.1533,20.1683,0,0
1/23/20,Albania,,41.1533,20.1683,0,0
1/24/20,Albania,,41.1533,20.1683,0,0
1/25/20,Albania,,41.1533,20.1683,0,0
1/26/20,Albania,,41.1533,20.1683,0,0
1/27/20,Albania,,41.1533,20.1683,0,0
1/28/20,Albania,,41.1533,20.1683,0,0
1/29/20,Albania,,41.1533,20.1683,0,0
1/30/20,Albania,,41.1533,20.1683,0,0
1/31/20,Albania,,41.1533,20.1683,0,0
2/1/20,Albania,,41.1533,20.1683,0,0
2/2/20,Albania,,41.1533,20.1683,0,0
2/3/20,Albania,,41.1533,20.1683,0,0
2/4/20,Albania,,41.1533,20.1683,0,0
2/5/20,Albania,,41.1533,20.1683,0,0
2/6/20,Albania,,41.1533,20.1683,0,0
2/7/20,Albania,,41.1533,20.1683,0,0
2/8/20,Albania,,41.1533,20.1683,0,0
2/9/20,Albania,,41.1533,20.1683,0,0
2/10/20,Albania,,41.1533,20.1683,0,0
2/11/20,Albania,,41.1533,20.1683,0,0
2/12/20,Albania,,41.1533,20.1683,0,0
2/13/20,Albania,,41.1533,20.1683,0,0
2/14/20,Albania,,41.1533,20.1683,0,0
2/15/20,Albania,,41.1533,20.1683,0,0
2/16/20,Albania,,41.1533,20.1683,0,0
2/17/20,Albania,,41.1533,20.1683,0,0
2/18/20,Albania,,41.1533,20.1683,0,0
2/19/20,Albania,,41.1533,20.1683,0,0
2/20/20,Albania,,41.1533,20.1683,0,0
2/21/20,Albania,,41.1533,20.1683,0,0
2/22/20,Albania,,41.1533,20.1683,0,0
2/23/20,Albania,,41.1533,20.1683,0,0
2/24/20,Albania,,41.1533,20.1683,0,0
2/25/20,Albania,,41.1533,20.1683,0,0
2/26/20,Albania,,41.1533,20.1683,0,0
2/27/20,Albania,,41.1533,20.1683,0,0
2/28/20,Albania,,41.1533,20.1683,0,0
2/29/20,Albania,,41.1533,20.1683,0,0
3/1/20,Albania,,41.1533,20.1683,0,0
3/2/20,Albania,,41.1533,20.1683,0,0
3/3/20,Albania,,41.1533,20.1683,0,0
3/4/20,Albania,,41.1533,20.1683,0,0
3/5/20,Albania,,41.1533,20.1683,0,0
3/6/20,Albania,,41.1533,20.1683,0,0
3/7/20,Albania,,41.1533,20.1683,0,0
3/8/20,Albania,,41.1533,20.1683,0,0
3/9/20,Albania,,41.1533,20.1683,2,0
3/10/20,Albania,,41.1533,20.1683,10,0
3/11/20,Albania,,41.1533,20.1683,12,0
3/12/20,Albania,,41.1533,20.1683,23,0
3/13/20,Albania,,41.1533,20.1683,33,0
3/14/20,Albania,,41.1533,20.1683,38,0
3/15/20,Albania,,41.1533,20.1683,42,0
3/16/20,Albania,,41.1533,20.1683,51,0
3/17/20,Albania,,41.1533,20.1683,55,0
3/18/20,Albania,,41.1533,20.1683,59,0
3/19/20,Albania,,41.1533,20.1683,64,0
3/20/20,Albania,,41.1533,20.1683,70,0
3/21/20,Albania,,41.1533,20.1683,76,0
3/22/20,Albania,,41.1533,20.1683,89,0
1/22/20,Algeria,,28.0339,1.6596,0,0
1/23/20,Algeria,,28.0339,1.6596,0,0
1/24/20,Algeria,,28.0339,1.6596,0,0
1/25/20,Algeria,,28.0339,1.6596,0,0
1/26/20,Algeria,,28.0339,1.6596,0,0
1/27/20,Algeria,,28.0339,1.6596,0,0
1/28/20,Algeria,,28.0339,1.6596,0,0
1/29/20,Algeria,,28.0339,1.6596,0,0
1/30/20,Algeria,,28.0339,1.6596,0,0
1/31/20,Algeria,,28.0339,1.6596,0,0
2/1/20,Algeria,,28.0339,1.6596,0,0
2/2/20,Algeria,,28.0339,1.6596,0,0
2/3/20,Algeria,,28.0339,1.6596,0,0
2/4/20,Algeria,,28.0339,1.6596,0,0
2/5/20,Algeria,,28.0339,1.6596,0,0
2/6/20,Algeria,,28.0339,1.6596,0,0
2/7/20,Algeria,,28.0339,1.6596,0,0
2/8/20,Algeria,,28.0339,1.6596,0,0
2/9/20,Algeria,,28.0339,1.6596,0,0
2/10/20,Algeria,,28.0339,1.6596,0,0
2/11/20,Algeria,,28.0339,1.6596,0,0
2/12/20,Algeria,,28.0339,1.6596,0,0
2/13/20,Algeria,,28.0339,1.6596,0,0
2/14/20,Algeria,,28.0339,1.6596,0,0
2/15/20,Algeria,,28.0339,1.6596,0,0
2/16/20,Algeria,,28.0339,1.6596,0,0
2/17/20,Algeria,,28.0339,1.6596,0,0
2/18/20,Algeria,,28.0339,1.6596,0,0
2/19/20,Algeria,,28.0339,1.6596,0,0
2/20/20,Algeria,,28.0339,1.6596,0,0
2/21/20,Algeria,,28.0339,1.6596,0,0
2/22/20,Algeria,,28.0339,1.6596,0,0
2/23/20,Algeria,,28.0339,1.6596,0,0
2/24/20,Algeria,,28.0339,1.6596,0,0
2/25/20,Algeria,,28.0339,1.6596,1,0
2/26/20,Algeria,,28.0339,1.6596,1,0
2/27/20,Algeria,,28.0339,1.6596,1,0
2/28/20,Algeria,,28.0339,1.6596,1,0
2/29/20,Algeria,,28.0339,1.6596,1,0
3/1/20,Algeria,,28.0339,1.6596,1,0
3/2/20,Algeria,,28.0339,1.6596,3,0
3/3/20,Algeria,,28.0339,1.6596,5,0
3/4/20,Algeria,,28.0339,1.6596,12,0
3/5/20,Algeria,,28.0339,1.6596,12,0
3/6/20,Algeria,,28.0339,1.6596,17,0
3/7/20,Algeria,,28.0339,1.6596,17,0
3/8/20,Algeria,,28.0339,1.6596,19,0
3/9/20,Algeria,,28.0339,1.6596,20,0
3/10/20,Algeria,,28.0339,1.6596,20,0
3/11/20,Algeria,,28.0339,1.6596,20,0
3/12/20,Algeria,,28.0339,1.6596,24,0
3/13/20,Algeria,,28.0339,1.6596,26,0
3/14/20,Algeria,,28.0339,1.6596,37,0
3/15/20,Algeria,,28.0339,1.6596,48,0
3/16/20,Algeria,,28.0339,1.6596,54,0
3/17/20,Algeria,,28.0339,1.6596,60,0
3/18/20,Algeria,,28.0339,1.6596,74,0
3/19/20,Algeria,,28.0339,1.6596,87,0
3/20/20,Algeria,,28.0339,1.6596,90,0
3/21/20,Algeria,,28.0339,1.6596,139,0
3/22/20,Algeria,,28.0339,1.6596,201,0
1/22/20,Andorra,,42.5063,1.5218,0,0
1/23/20,Andorra,,42.5063,1.5218,0,0
1/24/20,Andorra,,42.5063,1.5218,0,0
1/25/20,Andorra,,42.5063,1.5218,0,0
1/26/20,Andorra,,42.5063,1.5218,0,0
1/27/20,Andorra,,42.5063,1.5218,0,0
1/28/20,Andorra,,42.5063,1.5218,0,0
1/29/20,Andorra,,42.5063,1.5218,0,0
1/30/20,Andorra,,42.5063,1.5218,0,0
1/31/20,Andorra,,42.5063,1.5218,0,0
2/1/20,Andorra,,42.5063,1.5218,0,0
2/2/20,Andorra,,42.5063,1.5218,0,0
2/3/20,Andorra,,42.5063,1.5218,0,0
2/4/20,Andorra,,42.5063,1.5218,0,0
2/5/20,Andorra,,42.5063,1.5218,0,0
2/6/20,Andorra,,42.5063,1.5218,0,0
2/7/20,Andorra,,42.5063,1.5218,0,0
2/8/20,Andorra,,42.5063,1.5218,0,0
2/9/20,Andorra,,42.5063,1.5218,0,0
2/10/20,Andorra,,42.5063,1.5218,0,0
2/11/20,Andorra,,42.5063,1.5218,0,0
2/12/20,Andorra,,42.5063,1.5218,0,0
2/13/20,Andorra,,42.5063,1.5218,0,0
2/14/20,Andorra,,42.5063,1.5218,0,0
2/15/20,Andorra,,42.5063,1.5218,0,0
2/16/20,Andorra,,42.5063,1.5218,0,0
2/17/20,Andorra,,42.5063,1.5218,0,0
2/18/20,Andorra,,42.5063,1.5218,0,0
2/19/20,Andorra,,42.5063,1.5218,0,0
2/20/20,Andorra,,42.5063,1.5218,0,0
2/21/20,Andorra,,42.5063,1.5218,0,0
2/22/20,Andorra,,42.5063,1.5218,0,0
2/23/20,Andorra,,42.5063,1.5218,0,0
2/24/20,Andorra,,42.5063,1.5218,0,0
2/25/20,Andorra,,42.5063,1.5218,0,0
2/26/20,Andorra,,42.5063,1.5218,0,0
2/27/20,Andorra,,42.5063,1.5218,0,0
2/28/20,Andorra,,42.5063,1.5218,0,0
2/29/20,Andorra,,42.5063,1.5218,0,0
3/1/20,Andorra,,42.5063,1.5218,0,0
3/2/20,Andorra,,42.5063,1.5218,1,0
3/3/20,Andorra,,42.5063,1.5218,1,0
3/4/20,Andorra,,42.5063,1.5218,1,0
3/5/20,Andorra,,42.5063,1.5218,1,0
3/6/20,Andorra,,42.5063,1.5218,1,0
3/7/20,Andorra,,42.5063,1.5218,1,0
3/8/20,Andorra,,42.5063,1.5218,1,0
3/9/20,Andorra,,42.5063,1.5218,1,0
3/10/20,Andorra,,42.5063,1.5218,1,0
3/11/20,Andorra,,42.5063,1.5218,1,0
3/12/20,Andorra,,42.5063,1.5218,1,0
3/13/20,Andorra,,42.5063,1.5218,1,0
3/14/20,Andorra,,42.5063,1.5218,1,0
3/15/20,Andorra,,42.5063,1.5218,1,0
3/16/20,Andorra,,42.5063,1.5218,2,0
3/17/20,Andorra,,42.5063,1.5218,39,0
3/18/20,Andorra,,42.5063,1.5218,39,0
3/19/20,Andorra,,42.5063,1.5218,53,0
3/20/20,Andorra,,42.5063,1.5218,75,0
3/21/20,Andorra,,42.5063,1.5218,88,0
3/22/20,Andorra,,42.5063,1.5218,113,0
1/22/20,Angola,,-11.2027,17.8739,0,0
1/23/20,Angola,,-11.2027,17.8739,0,0
1/24/20,Angola,,-11.2027,17.8739,0,0
1/25/20,Angola,,-11.2027,17.8739,0,0
1/26/20,Angola,,-11.2027,17.8739,0,0
1/27/20,Angola,,-11.2027,17.8739,0,0
1/28/20,Angola,,-11.2027,17.8739,0,0
1/29/20,Angola,,-11.2027,17.8739,0,0
1/30/20,Angola,,-11.2027,17.8739,0,0
1/31/20,Angola,,-11.2027,17.8739,0,0
2/1/20,Angola,,-11.2027,17.8739,0,0
2/2/20,Angola,,-11.2027,17.8739,0,0
2/3/20,Angola,,-11.2027,17.8739,0,0
2/4/20,Angola,,-11.2027,17.8739,0,0
2/5/20,Angola,,-11.2027,17.8739,0,0
2/6/20,Angola,,-11.2027,17.8739,0,0
2/7/20,Angola,,-11.2027,17.8739,0,0
2/8/20,Angola,,-11.2027,17.8739,0,0
2/9/20,Angola,,-11.2027,17.8739,0,0
2/10/20,Angola,,-11.2027,17.8739,0,0
2/11/20,Angola,,-11.2027,17.8739,0,0
2/12/20,Angola,,-11.2027,17.8739,0,0
2/13/20,Angola,,-11.2027,17.8739,0,0
2/14/20,Angola,,-11.2027,17.8739,0,0
2/15/20,Angola,,-11.2027,17.8739,0,0
2/16/20,Angola,,-11.2027,17.8739,0,0
2/17/20,Angola,,-11.2027,17.8739,0,0
2/18/20,Angola,,-11.2027,17.8739,0,0
2/19/20,Angola,,-11.2027,17.8739,0,0
2/20/20,Angola,,-11.2027,17.8739,0,0
2/21/20,Angola,,-11.2027,17.8739,0,0
2/22/20,Angola,,-11.2027,17.8739,0,0
2/23/20,Angola,,-11.2027,17.8739,0,0
2/24/20,Angola,,-11.2027,17.8739,0,0
2/25/20,Angola,,-11.2027,17.8739,0,0
2/26/20,Angola,,-11.2027,17.8739,0,0
2/27/20,Angola,,-11.2027,17.8739,0,0
2/28/20,Angola,,-11.2027,17.8739,0,0
2/29/20,Angola,,-11.2027,17.8739,0,0
3/1/20,Angola,,-11.2027,17.8739,0,0
3/2/20,Angola,,-11.2027,17.8739,0,0
3/3/20,Angola,,-11.2027,17.8739,0,0
3/4/20,Angola,,-11.2027,17.8739,0,0
3/5/20,Angola,,-11.2027,17.8739,0,0
3/6/20,Angola,,-11.2027,17.8739,0,0
3/7/20,Angola,,-11.2027,17.8739,0,0
3/8/20,Angola,,-11.2027,17.8739,0,0
3/9/20,Angola,,-11.2027,17.8739,0,0
3/10/20,Angola,,-11.2027,17.8739,0,0
3/11/20,Angola,,-11.2027,17.8739,0,0
3/12/20,Angola,,-11.2027,17.8739,0,0
3/13/20,Angola,,-11.2027,17.8739,0,0
3/14/20,Angola,,-11.2027,17.8739,0,0
3/15/20,Angola,,-11.2027,17.8739,0,0
3/16/20,Angola,,-11.2027,17.8739,0,0
3/17/20,Angola,,-11.2027,17.8739,0,0
3/18/20,Angola,,-11.2027,17.8739,0,0
3/19/20,Angola,,-11.2027,17.8739,0,0
3/20/20,Angola,,-11.2027,17.8739,1,0
3/21/20,Angola,,-11.2027,17.8739,2,0
3/22/20,Angola,,-11.2027,17.8739,2,0
1/22/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
1/23/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
1/24/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
1/25/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
1/26/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
1/27/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
1/28/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
1/29/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
1/30/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
1/31/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/1/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/2/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/3/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/4/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/5/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/6/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/7/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/8/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/9/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/10/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/11/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/12/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/13/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/14/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/15/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/16/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/17/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/18/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/19/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/20/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/21/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/22/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/23/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/24/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/25/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/26/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/27/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/28/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
2/29/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
3/1/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
3/2/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
3/3/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
3/4/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
3/5/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
3/6/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
3/7/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
3/8/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
3/9/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
3/10/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
3/11/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
3/12/20,Antigua and Barbuda,,17.0608,-61.7964,0,0
3/13/20,Antigua and Barbuda,,17.0608,-61.7964,1,0
3/14/20,Antigua and Barbuda,,17.0608,-61.7964,1,0
3/15/20,Antigua and Barbuda,,17.0608,-61.7964,1,0
3/16/20,Antigua and Barbuda,,17.0608,-61.7964,1,0
3/17/20,Antigua and Barbuda,,17.0608,-61.7964,1,0
3/18/20,Antigua and Barbuda,,17.0608,-61.7964,1,0
3/19/20,Antigua and Barbuda,,17.0608,-61.7964,1,0
3/20/20,Antigua and Barbuda,,17.0608,-61.7964,1,0
3/21/20,Antigua and Barbuda,,17.0608,-61.7964,1,0
3/22/20,Antigua and Barbuda,,17.0608,-61.7964,1,0
1/22/20,Argentina,,-38.4161,-63.6167,0,0
1/23/20,Argentina,,-38.4161,-63.6167,0,0
1/24/20,Argentina,,-38.4161,-63.6167,0,0
1/25/20,Argentina,,-38.4161,-63.6167,0,0
1/26/20,Argentina,,-38.4161,-63.6167,0,0
